id,first_name,last_name,position,id_team,abbreviation,city,conference,division,full_name,name
912,Sergei,Bazarevich,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
913,Julius,Nwosu,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
914,Trevor,Ruffin,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
915,Yinka,Dare,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
916,Greg,Minor,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
917,Clifford,Rozier,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
918,Charlie,Ward,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
919,Dontonio,Wingfield,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
920,Aaron,Swinson,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
921,Jim,McIlvaine,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
922,Juwan,Howard,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
923,James,Blackwell,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
924,Ivano,Newbill,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
925,Dwayne,Morton,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
926,Chris,Childs,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
927,Ryan,Lorthridge,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
928,Elmer,Bennett,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
929,Darrick,Martin,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
930,Jerome,Harmon,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
931,Mark,Strickland,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
932,Eldridge,Recasner,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
933,Darrell,Armstrong,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
934,Derrick,Phelps,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
935,Cherokee,Parks,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
